nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
      9464, 1.405292129E-01, 8.049380208E-02, 8.213581404E+04, 1.012693366E+00, 1.869426987E+02,-1.226808858E+01, 2.825629899E+02, 2.208227096E+05, 2.032735797E+05
      9465, 2.694298791E-02, 8.049500645E-02, 8.511599569E+04, 1.038824287E+00, 1.711172371E+02,-2.502417200E+00, 2.854498516E+02, 2.199940710E+05, 2.053503652E+05
      9466, 2.330156828E-01, 8.051086719E-02, 7.646232724E+04, 9.621845049E-01, 2.151640075E+02,-1.717997315E+01, 2.768532816E+02, 2.224616121E+05, 1.991660608E+05
      9467, 8.190632470E-01, 8.052846087E-02, 6.753565710E+04, 8.222488627E-01, 1.664273904E+02, 7.936072830E+00, 2.861590085E+02, 2.197910847E+05, 2.058605270E+05
      9468, 2.394952878E-02, 8.053591089E-02, 8.513894044E+04, 1.039024453E+00, 1.709919528E+02,-2.226221890E+00, 2.854717946E+02, 2.199877725E+05, 2.053661508E+05
      9469, 4.693952490E-01, 8.054608205E-02, 4.216088207E+04, 6.287173596E-01, 3.649795352E+02, 2.001808377E+01, 2.336203568E+02, 2.348711001E+05, 1.680646367E+05
      9470, 6.881143467E-01, 8.055073661E-02, 1.818120069E+04, 3.446290031E-01, 4.789525927E+02, 6.716365649E+01, 1.837932458E+02, 2.491733695E+05, 1.322194071E+05
      9471, 1.733527994E-01, 8.056390734E-02, 8.048383245E+04, 9.980921026E-01, 1.953922248E+02,-1.435819530E+01, 2.809303568E+02, 2.212913371E+05, 2.020990764E+05
      9472, 2.598729782E-01, 8.056803568E-02, 7.413495883E+04, 9.411580269E-01, 2.261913356E+02,-1.787085817E+01, 2.744232659E+02, 2.231591187E+05, 1.974179267E+05
      9473, 2.095598658E-02, 8.057313238E-02, 8.515922437E+04, 1.039201394E+00, 1.708811438E+02,-1.949556857E+00, 2.854911893E+02, 2.199822055E+05, 2.053801033E+05
      9474, 8.220539514E-01, 8.057346611E-02, 6.758412365E+04, 8.227091649E-01, 1.662057867E+02, 7.842894445E+00, 2.862028456E+02, 2.197785230E+05, 2.058920631E+05
      9475, 6.644728403E-01, 8.058475495E-02, 1.959261928E+04, 3.635474639E-01, 4.704518404E+02, 6.788643736E+01, 1.877542794E+02, 2.480364028E+05, 1.350689434E+05
      9476, 3.166353910E-01, 8.058606128E-02, 6.796586003E+04, 8.844871602E-01, 2.543786275E+02,-1.710252280E+01, 2.677067745E+02, 2.250870063E+05, 1.925861359E+05
      9477, 6.231881027E-01, 8.058904121E-02, 2.248501261E+04, 4.011492844E-01, 4.542652714E+02, 6.663268339E+01, 1.952741979E+02, 2.458779012E+05, 1.404787132E+05
      9478, 9.872771026E-02, 8.059525699E-02, 8.373645249E+04, 1.026761147E+00, 1.785408992E+02,-9.052011963E+00, 2.841226381E+02, 2.203750315E+05, 2.043955783E+05
      9479, 1.796237812E-02, 8.060713125E-02, 8.517685796E+04, 1.039355205E+00, 1.707847682E+02,-1.672429710E+00, 2.855080474E+02, 2.199773666E+05, 2.053922308E+05
      9480, 8.250448002E-01, 8.061357397E-02, 6.763143213E+04, 8.231694718E-01, 1.660091685E+02, 7.770950491E+00, 2.862417990E+02, 2.197673641E+05, 2.059200859E+05
      9481, 2.031849866E-01, 8.062013881E-02, 7.865527342E+04, 9.818300948E-01, 2.045086330E+02,-1.595895524E+01, 2.790950277E+02, 2.218181461E+05, 2.007787552E+05
      9482, 2.867472761E-01, 8.063208427E-02, 7.143683781E+04, 9.165447491E-01, 2.386813280E+02,-1.796845061E+01, 2.715368926E+02, 2.239876172E+05, 1.953414925E+05
      9483, 4.962131340E-01, 8.063761562E-02, 3.760124987E+04, 5.793283521E-01, 3.843432922E+02, 3.152870153E+01, 2.261169963E+02, 2.370248490E+05, 1.626667784E+05
